,static,sentence
0,上罩支架,"发动机上支架断裂,发动机支架断裂。,支架过于单薄。导致支撑不平衡。更换新件后试车正常"
1,O型圈,"漏油,散热器漏油,O形圈老化损坏"
2,气制动阀总成,"倒车影像故障  脚制动阀失效,损坏，失效,损坏，失效"
3,加力器,"全车无刹车,加力器失效,加力器失效"
4,前传动轴及支承总成,"传动损坏,枕式滚珠轴承座损坏,枕式滚珠轴承座损坏"
5,组合阀,"漏气,组合阀漏气,组合阀漏气"
6,螺栓,"机子漏油,行走有异响,该机左转向油缸漏油,该机左转向油缸小腔进油钢管上的堵头螺栓密封不严漏液压油"
7,前传动轴及支承总成,"传动轴故障,前传动轴损坏,传动轴锁紧螺丝断了"
8,O型圈,"流量放大閥漏油,流量放大阀漏油,0圆圈漏油"
9,加力器,"刹车失灵,刹车油从驾驶室漏油,加力器串气"
10,气管接头,"漏气,制动阀下管路漏气,,制动阀管路漏装组合胶垫"
11,油管接头,"漏液压油,客户在使用过程中发现，在，漏液压油,螺栓松动"
12,加力器,"脚制动阀漏气，刹车返油,返刹车油,加力器损坏"
13,气制动阀总成,"脚制动阀漏气，刹车返油,气制动阀漏气,气制动阀漏气"
14,倒车报警器,"漏油,倒车报警器不响,倒车报警器损坏，更换倒车报a警器后正常。"
15,工作泵,"动臂提升慢，无法工作,经发现齿轮泵内部泄露,经发现齿轮泵内部泄露，更换后试车正常"
16,起动机,"无法启动。,无法启动.,马达损坏"
17,前传动轴及支承总成,"前桥传动轴异响,前桥传动轴异响,前桥关节轴承磨损，等发货"
18,前传动轴及支承总成,"前桥异响,工作时前传动轴异响,现场更换前传动轴，后试机正常"
19,加力器,"刹车不好,排空气没压力,加力器磨损"
20,空调继电器,"空调电路故障,空调不通电,损坏"
21,螺栓,"传动轴螺栓松动,客户在使用过程中发现，前传动轴螺栓松动,螺栓松动"
22,左门锁,"门锁打不开,客户在使用过程中发现门锁开不开,门锁损坏"
23,雨刮总成,"后雨刮不转动,客户在使用过程中发现后雨刮臂不转动,螺栓松动"
24,上罩支架,"发动机上罩支架断裂,发动机上罩支架断裂,质量问题"
25,加力器,"刹车不灵,后制动不灵,加力器内部泄露"
26,气制动阀总成,"踩刹车漏气,踩刹车漏气,漏气，需回公司拿配件更换"
27,气管接头,"漏气,漏气,管路垫圈坏"
28,上罩支架,"机罩支架断裂,发动机罩支架断裂,支架单薄断裂"
29,组合阀,"组合阀油水分离器一直漏气，气压上不去。,用户反应油水分离器组合阀漏气。,经工作人员检查油水分离器组合阀内部漏气"
30,左门锁,"驾驶室门打不开,装载机门打不开。,因门锁损坏导致"
31,螺栓,"机子手刹不灵,机子行走转弯有异响,该机车子行走过程中会有异响,该机车子行走过程中会有异响，经检查是后车架固定副车架销子的螺栓松动，导致副车架销子串动发响"
32,上罩支架,"发动机支架坏,支架断裂,支架断裂"
33,液位计,"液压油箱漏油,液位计漏油,液位计紧固螺丝出有裂缝"
34,燃油箱,"柴油箱漏油,柴油箱漏油,更换柴油箱总成"
35,上罩支架,"发动机上罩损坏。,发动机上罩支架断裂,上罩支架自然断裂"
36,油管接头,"漏油,漏油,管路接头松动导致漏油"
37,手刹间隙,"加不起油,手刹刹不住,间隙过大导致手刹刹不住"
38,手刹间隙,"加不起油,没手刹,调整间隙"
39,O型圈,"转向失灵,该机工作时流量放大阀处漏油,更换新密封圈后工作运转正常"
40,前传动轴及支承总成,"前传动轴损坏,前传动轴损坏,前传动轴损坏"
41,气制动阀总成,"没有刹车,行走无刹车,气制动阀漏气"
42,放水阀,"气路漏气,排水阀漏气,损坏"
43,螺栓,"有异响,发动机上罩上面钢网有个螺丝丢失导致整机在工作时有异响,螺丝没锁紧"
44,油门踏板,"加不上油门。,加不上油门。,油门踏板损坏，导致加不上油门。"
45,放水阀,"气瓶漏气,空气罐漏气,损坏"
46,雨刮总成,"雨刮臂不转动,客户在使用过程中发现后雨刮臂不转动,固定螺丝松动松动"
47,气管接头,"刹车漏气,客户在使用过程中，发现刹车有漏气现象,管子松动"
48,加力器,"刹车泵漏油,刹车泵漏油,内漏"
49,O型圈,"漏油,漏油,要换新的0型圈"
50,气制动阀总成,"漏气严重,用户反映气制动阀踩下漏气,怀疑为气制动阀内部胶圈损坏造成漏气，更换气制阀后故障排除"
51,油门踏板,"加不起油，故障，559.132.1424.1359,加不起油,油门踏板接触不好"
52,喇叭,"装载机嗽叭不响,喇叭??响,换喇叭后一切正常"
53,推拉软轴,"大小臂沉重。,大小臂沉重。,推拉软轴发卡。"
54,燃油箱,"油箱漏油,燃油箱开裂漏油,油箱开裂漏油更换燃油箱"
55,螺栓,"液力系统接头漏油，,变速箱接变速器连接上盖漏油，,经现场对该机变速器上面盖子缧丝加固后试机工作正常，"
56,前桥螺栓,"前桥固定螺栓断裂,前桥固定螺栓断裂,断裂"
57,油管接头,"漏油,铲车流量放大阀管路接头漏油。,铲车流量放大阀接头松动。"
58,气制动阀总成,"脚踩制动器漏气,脚踩制动器漏气,脚踩制动器密封件损坏"
59,组合阀,"打不上气,打不上气,组合阀损坏"
60,上罩支架,"发动机上罩支架断裂,发动机上罩支架断裂,质量问题"
61,工作泵,"动臂不起了,用户反应，动臂不起，到达用户现场检查情况属实。,更换新工作泵及工作泵垫后试车，动臂恢复正常工作。故障排除。"
62,加力器,"没有刹车,工作时刹车不灵,损坏"
63,气制动阀总成,"刹车刹不住,刹车失灵,更换新的行车制动阀试车正劳"
64,前传动轴及支承总成,"铲车传动轴异响。,铲车传动轴异响。,传动支撑损坏，更换后故障解决。"
65,油管接头,"漏油,右转向油缸接头处漏油,现场紧固右转向油缸油管接头处理后试机工作。"
66,气管接头,"发动机水温高,该机在工作时气压不足,漏气"
67,加力器,"没有刹车,工作时刹车没有,质量原因"
68,气管接头,"气压不足，漏气,气压不足漏气,因气管管子漏气导致气压不够"
69,风扇支架,"风扇断裂,风扇断裂脱落,经现场查看后对改机风扇支架和风扇进行更换，试机正常"
70,左门锁,"更换门锁外把手,驾驶室门锁损坏,无"
71,气管接头,"漏气,漏气,密封机乏损坏"
72,上罩支架,"发动机上罩支架断裂,该机发动机上罩支架开裂,支架质量问题"
73,气管接头,"刹车不灵,经现场试机检查，发现连接前加力器的气管接头漏气,经现场试机检查，发现连接前加力器的气管接头漏气"
74,下铰接,"上铰接销异响，晃动。,用户反应转斗油缸根部销子宽动大，无法工作,需更换（等配件）"
75,下铰接,"上铰接销异响，晃动。,用户来电报修铰接销上下跳动,损坏"
76,工作泵,"工作泵发响,该机在工作过程中工作泵发出刺耳的异响声！,该机工作过程中工作泵发出异响声是因为工作泵内部磨损所致！"
77,推拉软轴,nan
78,O型圈,"漏油,液压油散热器油管漏油,O型圈损坏"
79,雨刮总成,"雨刮无法使用,雨刮无法使用,雨刮臂固定螺栓松动"
80,气制动阀总成,"刹车抱死,该机工作时刹车出现起热抱死现象,更换新气制动阀后工作运转正常"
81,气制动阀总成,"漏气,漏气,更换制动阀总成后试车正常"
82,雨刮总成,"雨刷喷淋不喷水,雨刷喷淋不喷水,雨刷喷水电机水管脱落"
83,气管接头,"漏气,踩刹车漏气,气管接头松动"
84,螺栓,"车辆异响,左楼梯扶手松动,取螺丝，重新安装驾驶室左边扶手。"
85,螺栓,"车辆异响,发动机上罩松动,取断螺丝，安装新螺丝"
86,压缩机皮带,"空调不制冷,空调不制冷,压缩机皮带松动。 处理后试车正常"
87,加力器,"无刹车。,机器无刹车,加力器损坏"
88,推拉软轴,"大臂操纵杆发卡，沉,动臂手柄沉,拉线扭劲，"
89,气制动阀总成,"制动阀漏气,该机踩刹车时制动阀漏气,该机踩刹车时制动阀漏气是因为制动阀内部损坏，密封不严漏气"
90,螺栓,"定位锁不好使,驾驶室左门定位锁锁不住,拆卸定位锁加平垫后安装试车正常"
91,螺栓,"收斗动作慢,收斗动作慢,重新调整偏差并紧固螺丝后恢复正常"
92,风扇,"风扇损坏,风扇断裂,风扇断裂"
93,前桥螺栓,"前桥螺丝断裂,螺丝发生脱落，断裂,桥螺丝断裂，脱落"
94,动臂缸大小腔软管,"动臂缸油管漏油,动臂油缸软管漏。,动臂油缸软管损坏。"
95,放水阀,"储气筒漏气,储气筒漏气,储气筒放水开关关闭不严，导致漏气"
96,工作泵,"动臂起得慢,动臂起升慢,更换上齿轮泵"
97,螺栓,"底盘有异响声大。,用户电话报修，该机底盘异响,中间传动轴螺栓松动"
98,气制动阀总成,"刹车气压泄气快（两脚刹车就无气压）,制动阀漏气  导致无气压,制动阀漏气  内部泄漏 导致漏气"
99,组合阀,"右后轮边油封漏油。,机子打气慢,组合阀漏气"
100,上罩支架,"机罩支架开裂,断了,振动断裂"
101,左门锁,"门锁损坏,门锁损坏,更换后使用正常"
102,雨刮总成,"雨刮电机,雨刮电机,换上新的电机工作正常"
103,气管接头,"漏气,气压上不去，漏气,拧紧气管螺丝，试车正常"
104,手刹间隙,"手刹不灵,下坡地段拉上手刹溜车，,拉线间隙偏差"
105,压缩机皮带,"风扇转动异响,加油响,空调皮带松"
106,螺栓,"门打不开,门打不开,安装螺丝和把手使用正常。"
107,左门锁,"左门锁失效,左门锁失效,左门锁失效"
108,前桥螺栓,"前主传动损坏,前桥紧固螺栓断裂和变形。,由于前桥紧固螺栓断裂与变形，导致前主传动断裂，经客户要求必须更换，而且必须完工。现场更换时由于螺栓已经变形，卸不下来，只能用氧气焊割断螺栓，经过多道工序的操作，安装更换完毕。完工。"
109,起动机,"无法启动,无法启动,启动机损坏"
110,推拉软轴,"大臂提升慢,动臂提升慢,大臂软轴固定螺帽松动"
111,前传动轴及支承总成,"前传动轴及支撑损坏,前传动轴发响,传动轴支承坐损坏"
112,雨刮总成,"雨刮臂损坏,雨刮臂损坏,雨刮臂损坏"
113,气制动阀总成,"全车无刹车；刹车软，气制动阀排气量小。,刹车软，,进气滤网有堵。"
114,螺栓,"档位不好挂，喇叭不响,变速杆挂档不好挂。,变速杆固定螺丝松动导致。"
115,加力器,"加力器漏刹车油,客户在使用过程中发现，加力器滤杯漏油,滤杯松动，"
116,前传动轴及支承总成,"传动轴支撑总成损坏,支承总成损坏,更换后使用正常"
117,螺栓,"铲斗销松动,摇臂跟拉杆连接销固定螺丝松动，拉杆销耳走偏，卡住螺丝，螺丝才不掉下来，（APP出问题，出发前已经点出发，百度地图都开始导航目的地，到目的地后发现显示未出发）,摇臂跟拉杆连接销固定螺丝松动，拉杆销耳走偏，卡住螺丝，螺丝才不掉下来，（APP出问题，出发前已经点出发，百度地图都开始导航目的地，到目的地后发现显示未出发）"
118,加力器,"客户反映刹车高温，没刹车,刹车高温，没刹车，,加力器损坏导致没刹车"
119,上罩支架,"上罩支架断裂。,用户来电报修发动机上罩支架断,断裂"
120,左门锁,"左门锁损坏,装载机左门锁损坏,门锁损坏"
121,组合阀,"无气压报警灯亮,无气压,损坏"
122,螺栓,"挂挡手柄不到位,挂前进档时费力，有时挂不上,挂挡拉线固定螺栓松动"
123,下铰接,"系统问题重新预约更换铰接销,铰接销打不进黄油,销子锈死"
124,油管接头,"漏油,液压油渗漏。,管路接头松动"
125,继电器,"仪表有时不亮,仪表有时不亮，有时自动熄火,电源继电器断路"
126,上罩,"发动机上罩掉漆,发动机上罩掉漆,更换上罩后恢复正常"
127,上罩支架,"发动机上罩支架断裂,发动机上罩支架断裂。,维修人员现场检查，发现发动机上罩支架断裂，更换支架后整机运转正常。"
128,前桥螺栓,"桥固定螺栓断,前桥固定螺栓断,固定螺栓断"
129,气管接头,"加力器漏气,漏气,管子漏气"
130,左门锁,"锁损坏,不好关门,锁扣断裂"
131,换档软轴,"漏油,漏油,螺栓松动"
132,气管接头,"储气罐气压低,装载机在工作时气压低无法行走,气管接口松动导致漏气"
133,上罩支架,"上罩支架断裂。,用户来电报修发动机上罩骨架断裂,断裂"
134,油管接头,"漏油,漏油,螺栓接头松动"
135,加力器,"刹车喷油,加力器喷油。,柳工的通病。"
136,压缩机皮带,"有异响,空调压缩机带松了产生异响,压缩机带拉长松了"
137,气管接头,"气压表不上气,气压表不上气,螺母松动"
138,燃油箱,"燃油箱漏油,燃油箱漏油,燃油箱开裂"
139,推拉软轴,"大小臂拉线重,拉线重发卡,磨损"
140,前传动轴及支承总成,"前传动轴支撑总成打不进黄油,前传动轴支撑总成打不进黄油,前传动轴支撑总成打不进黄油"
141,下铰接螺栓,"铰接下销松脱,铰接下销松脱,铰接下销紧固螺丝断裂，且部分螺丝断裂在铰接下销内无法取出，更换铰接下销，螺丝，故障排除"
142,工作泵,"变速箱前进档异响,客户报修变速箱异响  现场检查发现变速箱(正常),变速系统正常  工作泵噪音大,工作泵异响大  "
143,气制动阀总成,"客户来电反映车子刹车不好,有时没刹车,法卡"
144,加力器,"踩刹车时候漏气,加力器喷油,高温引起喷油"
145,前桥螺栓,"桥螺丝断裂,前桥松动,前桥罗栓断裂"
146,按钮阀,"车子不行走,车子无行走,按钮阀间隙不对"
147,风扇,"风扇叶损坏,发动机抖动厉害,拆下护罩更换风扇叶后一切正常"
148,加力器,"前刹漏油,刹车漏油,加力器损坏，刹车漏油"
149,换档软轴,"跳档，脱档。,脱档，跳档。,现场拆下变数箱挡板，调整挂挡拉线间隙处理后，锁紧拉线固定螺丝，试机工作。"
150,气制动阀总成,"制动阀漏气,制动阀漏气,制动阀损坏"
151,气管接头,"漏气，刹车不好。,漏气,现场拆下前加力器进气管，拿出损坏气管垫，更换新气管垫处理后试机工作正常。"
152,组合阀,"打不起气,用户反应车子无法行走,组合阀发卡漏气"
153,气管接头,"漏气,漏气,漏气"
154,组合阀,"组合阀漏气,到达现场检查发现组合阀在气压打够后漏气导致气瓶中的气留不住,由于组合阀损坏导致气瓶中的气很快漏完"
155,螺栓,"漏液压油,转向油缸漏油,经紧固软管螺丝后试车正常"
156,气管接头,"车不行走，挂挡反应,客户反映该机不行走。,现场维修：脚制动阀气管松动，从新禁锢后试车正常。"
157,工作泵,"动壁无力，起升慢,工作时动臂无力，起升速度慢,损坏"
158,手刹间隙,"手刹不制,手刹不制,手刹拉线下端锁丝脱落"
159,燃油箱,"油箱漏油,漏油,燃油箱开裂"
160,上罩支架,"发动机上罩支架断裂,发动机上罩支架断裂,质量问题"
161,加力器,"刹车漏油，刹车不灵,损坏失效,失效损坏"
162,O型圈,"液压系统油管漏油,变速箱散热器管路漏油,漏油，损坏"
163,喇叭,"喇叭不响,喇叭损坏,更换喇叭"
164,燃油箱,"柴油箱焊缝开裂漏油严重,油箱漏油。,焊缝开焊漏油。"
165,刹车管,"轮边漏油，杀了，刹车管漏油,漏齿轮油,轮边油封老化，更换后正常使用"
166,组合阀,"漏气,漏气,磨损"
167,气管接头,"漏气,漏气,组合垫埙坏"
168,气制动阀总成,"刹车抱死,气自动阀发卡。,损坏。"
169,气管接头,"无法行走。,打不起气,螺丝松动"
170,上罩,"上罩出现大片掉漆,上罩脱漆,上罩脱漆"
171,油门踏板,"加不上油,加不上油门有时候。,当加不上油门时，信号电压为0，油门踏板损坏。"
172,起动机,"车辆打不着，无法启动,打不着车,判断为起动马达内部线圈损坏，需要更换起动马达，更换启动马达后正常 "
173,工作泵,"用户反应早上冷车声音大,该车工作泵冷车声音大，热车正常。,更换工作泵后，试车正常。"
174,放水阀,"客户反应机器排水阀损坏,客户反应储气罐排水阀放不了水,因受水影响排水阀出现腐蚀现象，导致排水阀卡死"
175,加力器,"加力器漏气,刹车不灵,加力器损坏"
176,喇叭,"修喇叭,损坏,损坏"
177,前桥螺栓,"前桥固定螺丝断裂遗失,前桥固定螺丝少了两颗,质量问题"
178,组合阀,"铲车不能行走不上气,铲车工作时车不能行走没有气压,组合阀漏气损坏"
179,螺栓,"挂挡手柄晃动大,用户反应该机挂挡手柄晃动大,拆下后更换螺丝，并重新上紧挂挡手柄，故障排除"
180,前传动轴及支承总成,"带轴承的传动轴异响,前轮异响,传动轴轴承损坏"
181,前传动轴及支承总成,"传动轴支撑损坏,异响,中间轴承支撑损坏"
182,推拉软轴,"收斗不好用,客户反应收斗不好用,重新紧固后试车正常"
183,O型圈,"漏油,客户反应漏油,重新更换后试车正常"
184,螺栓,"漏油,客户反应漏油,重新紧固后试车正常"
185,加力器,"用户反应该机无刹车，,用户反应该机无刹车,加力器损坏，更换新件。"
186,气制动阀总成,"气制动阀漏气，铗钳油封漏油，动臂油管漏油，,用户反应该机气制动阀漏气,气制动阀损坏"
187,上罩支架,"上罩开裂,上罩开裂,上罩开裂"
188,推拉软轴,"转斗拉线断了,拉线沉卡死,拉线内部卡死"
189,上罩支架,"发动机上罩断裂,发动机上罩断裂,质量原因"
190,上罩支架,"发动机上罩断裂,发动机罩断裂,质量问题"
191,上罩,"发动机机罩掉漆,发动机机罩掉漆,没有喷好漆"
192,螺栓,"发动机有异响,发动机有异响，冒白烟，加不起油,气门摇臂调整螺丝松动。"
193,螺栓,"转向异响,固定转向油缸站螺丝松动脱落，导致转向时异响,螺丝松动脱落"
194,上罩支架,"动机后机罩支架损坏,该机发动机后机罩支架断裂。,该机发动机后机罩支架断裂"
195,螺栓,"支架断裂,机罩螺丝脱落,螺丝以吊"
196,左门锁,"门锁打不开,驾驶室门在驾驶室内无法打开,门锁拉线断裂，导致驾驶室门无法打开"
197,上罩支架,"该机发动机上罩支架断裂,该机发动机上罩支架断裂,支架质量问题"
198,动臂缸大小腔软管,"动臂油缸回油管漏油。,油管漏油,油管漏油"
199,气管接头,"驾驶室漏气,驾驶室底下漏气,气管漏气"
200,前桥螺栓,"前桥螺丝断,螺丝断,换上新的螺丝工作正常"
201,推拉软轴,"设备工作时动臂手柄提升沉,动臂手柄沉,推拉软轴固定螺丝松动"
202,前桥螺栓,"前桥壳损坏,前桥壳断裂,更换一新前桥壳总成，试车正常"
203,上罩支架,"支架断裂,发动机进气管支架断裂,进气管支架断裂"
204,油门踏板,"报警灯亮，加不起油门,报警灯亮，油门加不起油。,断裂"
205,气管接头,"踩刹车漏气,踩刹车漏气,管路松动"
206,螺栓,"用户反应该机机罩磨水箱，,用户反应该机罩异响,支架与付水箱无间隔，松动付水箱固定螺丝移动付水箱与支架分开。故障排除。"
